Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
C,S&P 500,96.72B,13.93B,74.41B,94.07,539.85,2.04,4.03%,240000,Yes,Yes,2.50,7.13,7.52,-,1.30,0.54,0.09,6.25,-,-,0.00,1.49,-2.73%,7.11,6.74,1.68,-29.90%,15.73%,-9.15%,5.50%,3.90%,100.40%,-21.00%,Jan 13 BMO,-0.62%,0.16%,-0.87%,73.70%,-0.03%,0.60%,7.60%,8.90%,-,59.00%,18.40%,29.00%,2.40%,1.94B,1.93B,1.51% / 1.66,29.16M,58.27,40.01 - 58.25,-14.89%,23.92%,41.82,1.23,17.52M,"11,134,781",-3.55%,-3.04%,10.21%,1.94%,-9.65%,9.60%,1.58,1.08,1.85% 2.01%,50.68,49.57,-2.18%
CAG,S&P 500,17.12B,681.70M,12.04B,18.08,0.08,1.32,3.68%,18000,Yes,Yes,2.70,25.37,12.78,3.06,1.42,1.99,431.13,81.78,0.30,0.90,1.08,0.93,-1.58%,1.42,2.81,0.65,-30.80%,5.13%,8.30%,8.40%,8.10%,8.30%,38.90%,Jan 05 BMO,-5.03%,0.30%,-3.79%,84.10%,-2.36%,3.00%,7.90%,6.30%,25.40%,9.50%,5.70%,89.20%,0.60%,479.40M,471.64M,2.98% / 3.30,14.05M,41.00,30.06 - 41.30,-13.81%,18.41%,37.79,0.67,4.25M,"1,476,402",-0.71%,-1.83%,-5.23%,2.58%,15.08%,-8.02%,0.55,0.62,1.37% 1.63%,35.90,35.60,-0.85%
CAH,S&P 500,18.60B,-1273.00M,193.01B,-8.48,14.28,1.98,2.73%,46500,Yes,Yes,2.60,-,11.44,-,0.10,-,5.09,8.26,0.50,1.00,-,-,-7.07%,-4.65,6.35,1.48,-260.90%,16.24%,11.85%,-23.10%,6.90%,13.20%,-385.60%,Feb 02 BMO,-7.04%,0.60%,-4.97%,93.00%,0.12%,-2.90%,94.30%,-16.70%,3.40%,0.00%,-0.70%,-,3.74%,261.00M,256.52M,2.46% / 2.35,6.30M,85.99,49.70 - 81.57,-12.14%,44.21%,28.06,0.71,2.68M,"983,674",-4.07%,-8.83%,-9.74%,0.99%,36.70%,-6.76%,0.76,1.48,1.98% 1.76%,72.65,71.67,-1.35%
CARR,S&P 500,38.13B,3.53B,20.42B,9.29,4.38,0.74,1.56%,52000,Yes,Yes,2.50,11.58,16.71,0.83,1.87,5.10,10.83,43.28,1.20,1.60,1.14,1.12,3.18%,4.09,2.84,0.48,119.60%,10.48%,14.00%,23.70%,2.80%,-0.50%,-13.10%,Feb 07 BMO,5.72%,0.11%,-30.20%,87.90%,-0.27%,14.20%,49.20%,22.90%,26.80%,22.10%,17.30%,15.20%,15.41%,835.30M,826.32M,0.99% / 2.03,8.15M,49.12,33.10 - 49.17,-4.49%,41.87%,58.79,0.96,4.01M,"1,976,000",1.89%,5.79%,9.16%,13.16%,7.76%,13.84%,-,1.09,2.76% 2.20%,47.39,46.96,-0.91%
CAT,"DJIA, S&P 500",126.85B,6.71B,59.43B,30.68,13.73,4.80,1.93%,109100,Yes,Yes,2.60,19.67,14.47,1.49,2.13,8.11,18.11,31.48,0.90,1.40,2.33,1.62,-0.22%,12.64,17.19,3.76,7.50%,7.98%,13.22%,19.40%,5.50%,20.30%,-27.40%,Jan 31 BMO,-1.15%,0.15%,-12.16%,70.90%,-1.87%,8.20%,41.70%,11.00%,30.80%,13.30%,11.30%,36.30%,15.83%,517.30M,511.18M,1.42% / 2.25,7.26M,250.29,160.60 - 266.04,-7.81%,52.71%,48.12,0.48,3.22M,"803,863",-2.75%,-1.77%,7.43%,35.60%,16.79%,2.38%,1.09,5.85,2.35% 2.21%,248.72,245.25,-1.40%
CB,S&P 500,84.94B,5.31B,43.17B,121.71,4.82,3.32,1.63%,34000,Yes,Yes,2.30,16.25,10.12,1.15,1.97,1.67,42.22,8.61,-,-,0.30,0.29,-4.04%,12.52,20.10,4.47,-34.90%,10.48%,14.19%,11.60%,6.00%,9.00%,-36.70%,Jan 31 AMC,-7.14%,0.30%,-10.07%,90.50%,-0.55%,2.70%,10.30%,9.00%,-,16.70%,12.30%,25.80%,-0.68%,415.25M,413.66M,0.49% / 1.14,2.02M,246.50,173.78 - 231.37,-12.69%,16.24%,29.66,0.52,1.77M,"470,025",-3.07%,-6.11%,-7.18%,4.30%,2.20%,-8.43%,0.67,3.60,1.47% 1.47%,203.37,202.01,-0.67%
CBOE,S&P 500,13.01B,233.70M,3.96B,32.69,4.97,2.00,1.62%,1543,Yes,Yes,2.50,56.45,16.43,20.63,3.29,3.77,24.80,34.06,1.10,1.10,0.50,0.41,-2.94%,2.18,7.50,1.78,-55.40%,5.41%,2.74%,2.80%,12.20%,16.00%,-3.40%,Feb 03 BMO,-1.52%,0.20%,-13.26%,84.00%,-3.04%,3.10%,6.90%,5.60%,44.00%,12.40%,5.90%,89.00%,1.74%,106.00M,105.58M,1.35% / 2.14,1.42M,144.92,103.82 - 132.01,-6.68%,18.66%,40.52,0.49,664.76K,"166,782",-2.37%,-3.30%,-4.05%,-0.40%,8.36%,-1.82%,0.49,2.33,1.37% 1.82%,123.23,123.19,-0.03%
CBRE,S&P 500,25.32B,1.41B,30.83B,25.00,4.34,-,-,115000,Yes,Yes,2.00,19.52,14.02,1.77,0.82,3.33,19.21,18.50,1.00,1.00,0.29,0.15,-3.82%,4.27,5.95,0.95,-20.60%,16.84%,11.00%,11.70%,10.60%,-4.20%,-87.50%,Feb 23 BMO,-1.39%,0.10%,-1.62%,99.20%,-2.01%,6.80%,17.40%,12.60%,21.40%,4.90%,4.60%,0.00%,5.79%,314.14M,307.90M,1.64% / 3.69,5.06M,95.29,66.31 - 94.21,-11.98%,25.05%,42.10,0.42,1.37M,"296,469",-1.54%,-4.71%,7.91%,4.33%,-2.27%,7.74%,1.39,1.89,2.11% 2.16%,83.36,82.92,-0.53%
CCI,S&P 500,55.42B,1.68B,6.99B,17.20,0.37,6.26,4.81%,5000,Yes,Yes,2.50,33.70,36.36,-,7.93,7.56,355.27,-,0.40,0.40,2.92,2.81,-3.39%,3.86,3.58,0.91,44.60%,-5.57%,-3.21%,35.60%,10.40%,6.70%,17.30%,Jan 25 AMC,-7.41%,0.45%,0.17%,93.10%,0.39%,4.30%,21.60%,8.20%,70.40%,34.30%,24.00%,154.50%,-15.16%,433.00M,430.78M,0.91% / 1.93,3.93M,155.75,121.71 - 199.97,-34.72%,7.25%,39.40,0.55,2.04M,"579,977",0.95%,-10.02%,-4.90%,-24.84%,-24.91%,-3.76%,0.67,3.37,2.53% 2.35%,130.04,130.54,0.38%
CCL,S&P 500,12.65B,-6093.00M,12.17B,5.62,3.35,-,-,85000,Yes,Yes,2.70,-,11.79,-,1.04,1.87,3.14,-,0.70,0.70,4.89,4.52,-8.73%,-5.19,0.89,-0.28,39.00%,990.00%,-,-28.00%,-7.00%,198.30%,45.10%,Dec 21 BMO,-2.75%,0.10%,-8.19%,50.90%,9.72%,-11.60%,-71.70%,-10.60%,31.30%,-36.00%,-50.10%,-,3.49%,1.26B,1.03B,12.13% / 3.15,124.38M,10.81,6.11 - 21.50,-52.63%,66.69%,39.94,0.82,39.53M,"16,654,393",-5.34%,-16.45%,9.52%,3.72%,-35.86%,26.36%,2.24,0.48,3.96% 4.28%,10.53,10.19,-3.28%
CDAY,S&P 500,10.95B,-73.40M,1.25B,13.73,2.86,-,-,8526,Yes,Yes,2.50,-,44.74,-,8.78,5.27,25.35,97.40,1.10,1.10,0.58,0.58,-3.18%,-0.48,1.62,0.32,4.30%,29.54%,37.30%,17.70%,13.20%,19.10%,45.00%,Feb 08 AMC,2.31%,0.30%,-21.55%,-,-3.31%,-0.80%,-3.50%,-2.20%,38.00%,-5.00%,-5.90%,-,16.89%,153.69M,152.11M,6.85% / 7.76,10.42M,85.00,43.23 - 79.66,-9.30%,67.14%,46.33,0.50,1.34M,"344,121",-1.26%,-3.14%,15.15%,17.20%,13.66%,12.63%,1.45,2.33,3.05% 3.01%,72.39,72.25,-0.19%
CDNS,"NDX, S&P 500",53.33B,849.00M,3.56B,10.18,3.30,-,-,10200,Yes,Yes,1.90,64.56,35.85,3.65,14.97,19.58,60.44,47.67,1.20,1.30,0.27,0.24,3.70%,3.09,5.56,1.25,23.70%,11.98%,17.68%,51.80%,12.90%,16.40%,38.80%,Feb 13 AMC,10.69%,0.60%,-22.42%,90.20%,0.96%,18.00%,31.30%,25.10%,89.60%,30.10%,23.80%,0.00%,19.50%,272.94M,271.51M,1.16% / 2.15,3.15M,214.29,132.32 - 202.96,-1.20%,51.55%,64.88,0.99,1.47M,"746,955",4.09%,6.47%,22.52%,17.34%,37.53%,24.83%,1.06,4.25,2.04% 2.02%,199.30,200.52,0.61%
CDW,S&P 500,27.10B,1.11B,23.75B,11.83,2.33,2.36,1.18%,15100,Yes,Yes,1.80,24.58,17.51,1.69,1.14,16.90,85.98,29.28,1.20,1.30,3.69,3.66,-2.21%,8.14,11.42,2.27,15.60%,9.57%,14.54%,23.50%,9.90%,-1.80%,33.90%,Feb 08 BMO,2.02%,0.10%,-3.35%,97.20%,1.36%,8.30%,90.50%,18.10%,19.70%,7.30%,4.70%,19.30%,12.58%,135.50M,134.86M,1.27% / 2.23,1.71M,218.69,147.91 - 215.00,-6.79%,35.48%,47.84,0.33,769.70K,"129,029",-0.56%,0.55%,8.47%,15.79%,21.61%,12.22%,1.13,3.49,1.32% 1.90%,199.98,200.40,0.21%
CE,S&P 500,12.69B,1.90B,9.67B,51.95,-,2.80,2.37%,13263,Yes,Yes,2.50,6.77,8.10,2.54,1.31,2.27,-,12.97,0.90,1.60,2.60,2.37,-2.14%,17.42,14.56,1.65,2.10%,21.04%,2.67%,20.50%,9.50%,3.20%,46.50%,Feb 23 AMC,-0.86%,0.20%,0.56%,96.60%,-0.52%,10.40%,37.70%,9.20%,24.60%,14.20%,19.60%,15.70%,3.26%,108.51M,108.11M,2.00% / 2.16,2.16M,127.79,86.71 - 161.37,-27.66%,34.64%,45.74,0.47,998.41K,"242,456",-5.52%,-5.79%,11.38%,5.91%,-12.82%,14.18%,1.31,3.69,2.81% 3.16%,117.96,116.74,-1.03%
CEG,S&P 500,24.63B,-151.00M,22.64B,33.04,3.78,1.13,1.44%,11696,Yes,Yes,2.20,-,14.64,-,1.09,2.36,20.67,-,1.10,1.20,0.50,0.41,-1.03%,-0.46,5.33,1.03,-134.70%,21.84%,21.70%,-,-,37.40%,-130.90%,Feb 16 BMO,-3.50%,0.10%,0.00%,83.30%,-0.00%,-0.30%,-1.40%,-2.90%,30.20%,2.90%,-0.70%,-,1.47%,327.00M,326.25M,1.46% / 2.40,4.77M,97.77,48.29 - 97.89,-18.19%,65.84%,48.00,0.68,1.99M,"695,197",5.12%,-6.80%,-11.78%,-3.40%,53.07%,-7.11%,-,2.50,2.78% 3.03%,78.07,80.08,2.58%
CF,S&P 500,16.63B,3.35B,11.19B,25.72,11.77,1.60,1.90%,2700,Yes,Yes,2.40,5.16,10.07,-,1.49,3.28,7.16,5.37,3.20,3.70,0.00,0.59,-3.38%,16.32,8.37,2.83,286.30%,-23.75%,-,98.50%,22.10%,2.70%,33.30%,Feb 15 AMC,-3.11%,0.20%,0.00%,97.00%,-2.39%,24.90%,74.00%,52.80%,52.40%,48.20%,29.90%,9.10%,-13.23%,196.40M,195.35M,2.42% / 1.72,4.73M,103.32,79.18 - 119.60,-30.93%,4.33%,41.72,0.55,2.74M,"783,475",-4.91%,-1.95%,-18.61%,-19.27%,-11.44%,-3.04%,1.03,2.75,2.79% 3.26%,84.27,82.61,-1.97%
CFG,S&P 500,18.15B,1.96B,7.06B,43.92,24.53,1.68,4.41%,18889,Yes,Yes,2.10,9.31,7.37,10.95,2.57,0.87,1.55,5.65,-,-,0.34,0.31,-12.49%,4.09,5.17,1.16,-20.50%,2.62%,0.85%,9.60%,7.50%,87.40%,7.80%,Jan 17 BMO,-12.13%,0.30%,-10.73%,92.10%,-0.02%,0.90%,9.20%,17.10%,-,78.40%,27.80%,39.50%,-5.78%,493.49M,482.31M,2.46% / 3.16,11.86M,47.42,32.65 - 50.94,-28.02%,12.28%,21.48,2.00,3.75M,"3,857,357",-9.13%,-17.20%,-6.75%,1.26%,-19.65%,-6.87%,1.35,1.01,3.04% 2.06%,38.08,36.67,-3.72%
CHD,S&P 500,20.48B,413.90M,5.38B,14.19,1.10,1.09,1.30%,5250,Yes,Yes,2.70,49.82,25.90,6.38,3.81,5.89,75.76,45.36,0.60,1.20,0.77,0.74,0.91%,1.68,3.23,0.76,-49.30%,6.78%,7.81%,-1.80%,7.30%,4.90%,-205.30%,Feb 03 BMO,2.08%,0.18%,-4.95%,84.70%,-0.88%,5.00%,11.70%,7.90%,41.90%,11.10%,7.70%,61.20%,1.89%,246.00M,243.43M,1.47% / 2.62,3.58M,87.00,70.16 - 105.28,-19.95%,20.12%,56.53,0.34,1.37M,"242,924",-0.24%,1.61%,4.77%,3.36%,-11.58%,4.55%,0.46,1.32,1.23% 1.47%,83.65,84.28,0.75%
