Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
CVX,"DJIA, S&P 500",306.25B,35.47B,235.72B,83.46,9.53,6.04,3.71%,43846,Yes,Yes,2.60,8.93,10.91,-,1.30,1.95,17.11,11.49,1.20,1.50,0.15,0.13,-1.15%,18.26,14.94,3.60,124.60%,-3.26%,-8.19%,37.10%,11.80%,18.90%,25.80%,Jan 27 BMO,-5.08%,0.08%,-20.50%,72.00%,-0.68%,13.80%,23.00%,15.20%,38.30%,17.80%,15.00%,31.00%,-1.28%,1.91B,1.90B,0.67% / 1.52,12.69M,192.63,132.54 - 189.68,-13.90%,23.22%,42.68,0.51,8.37M,"2,215,280",0.46%,-6.19%,-5.06%,5.29%,-4.23%,-9.01%,1.16,3.48,2.10% 1.86%,162.99,163.31,0.20%
CZR,S&P 500,11.02B,-513.00M,10.82B,17.93,4.57,-,-,49000,Yes,Yes,2.20,-,25.61,-,1.02,2.98,11.68,-,0.80,0.80,6.64,6.62,-0.25%,-2.40,2.08,0.03,64.90%,111.69%,27.50%,-61.60%,60.70%,7.50%,122.60%,Feb 21 AMC,5.52%,0.40%,3.12%,96.50%,-1.16%,-4.00%,-37.30%,4.90%,47.40%,9.50%,-13.60%,-,14.70%,214.00M,213.66M,3.12% / 2.18,6.67M,69.62,31.31 - 81.57,-35.76%,67.36%,51.51,0.52,3.06M,"821,633",0.27%,-4.55%,7.58%,15.75%,-25.40%,25.96%,2.90,2.11,4.09% 3.85%,53.35,52.40,-1.78%
D,S&P 500,45.12B,892.00M,17.17B,31.30,-,2.67,4.86%,17200,Yes,Yes,2.80,51.80,14.40,11.59,2.63,1.76,-,-,0.60,0.70,1.75,1.49,-2.88%,1.06,3.82,1.10,-66.10%,-4.31%,4.47%,-20.40%,6.40%,26.60%,-106.90%,Feb 08 BMO,-7.79%,0.13%,-0.59%,72.40%,1.51%,0.90%,3.40%,2.10%,99.70%,9.30%,5.20%,243.90%,-21.14%,833.80M,832.12M,0.82% / 1.27,6.84M,64.50,53.74 - 88.78,-37.54%,3.18%,37.21,0.39,5.40M,"1,080,107",0.84%,-9.98%,-4.81%,-33.51%,-32.01%,-9.57%,0.45,1.19,1.99% 2.14%,54.96,55.45,0.89%
DAL,S&P 500,25.19B,1.32B,50.58B,10.32,10.30,-,-,95000,Yes,Yes,1.60,19.39,5.75,0.52,0.50,3.85,3.86,5.61,0.40,0.50,3.50,3.14,2.78%,2.05,6.90,0.33,370.70%,33.23%,37.41%,-16.20%,4.20%,41.90%,301.60%,Jan 13 BMO,4.65%,0.20%,-2.54%,67.50%,-1.83%,1.80%,29.40%,10.00%,43.10%,7.00%,2.60%,0.00%,15.70%,641.24M,639.00M,3.24% / 2.14,20.73M,51.00,27.20 - 46.27,-14.68%,45.14%,59.57,0.96,9.67M,"4,779,643",2.75%,-0.28%,9.94%,22.49%,26.45%,20.14%,1.27,0.94,2.03% 2.22%,39.73,39.48,-0.63%
DD,S&P 500,33.16B,1.01B,13.02B,55.68,10.79,1.44,2.00%,23000,Yes,Yes,2.20,35.83,16.44,2.67,2.55,1.29,6.68,-,2.40,3.00,0.30,0.29,-3.58%,2.01,4.39,0.80,-4.90%,16.28%,13.44%,26.40%,2.20%,-4.40%,-30.40%,Feb 07 BMO,-2.36%,0.10%,-0.18%,75.00%,0.18%,13.40%,22.70%,3.90%,35.50%,13.60%,45.10%,10.90%,12.58%,477.20M,453.54M,3.57% / 5.76,16.17M,85.60,49.52 - 78.98,-9.34%,44.59%,41.26,0.64,2.81M,"924,756",-4.42%,-7.96%,2.33%,27.27%,4.05%,4.33%,1.43,1.57,2.31% 2.01%,72.10,71.60,-0.69%
DE,S&P 500,123.12B,8.19B,55.33B,71.68,13.70,5.00,1.18%,82200,Yes,Yes,2.10,15.74,13.19,1.15,2.22,5.92,30.96,35.97,-,-,2.53,1.64,2.56%,26.96,32.16,8.51,22.60%,5.37%,13.70%,28.40%,11.90%,32.20%,124.40%,Feb 17 BMO,1.99%,0.10%,-11.13%,78.50%,-2.32%,9.30%,41.20%,11.00%,34.20%,20.70%,14.80%,16.10%,13.43%,297.60M,295.70M,0.78% / 1.62,2.31M,471.82,283.81 - 448.40,-4.15%,51.44%,56.15,1.27,1.43M,"935,425",2.01%,4.95%,-1.93%,17.45%,17.77%,0.24%,1.06,9.25,1.83% 2.11%,424.29,429.79,1.30%
DFS,S&P 500,28.36B,4.30B,12.86B,49.94,34.53,2.40,2.17%,20200,Yes,Yes,2.50,7.16,7.75,-,2.20,2.21,3.20,4.53,-,-,1.49,1.20,-3.94%,15.45,14.27,3.99,-13.20%,4.51%,-,21.10%,5.90%,40.60%,2.30%,Jan 18 AMC,-1.05%,0.50%,-2.19%,85.00%,-1.42%,3.60%,33.20%,21.70%,-,67.20%,33.50%,14.80%,4.84%,271.00M,260.15M,1.75% / 1.90,4.55M,117.15,87.64 - 121.17,-10.58%,23.63%,40.83,0.35,2.39M,"436,502",-3.58%,-8.05%,4.31%,8.42%,4.91%,10.75%,1.45,2.64,2.11% 1.97%,110.60,108.35,-2.03%
DG,S&P 500,48.34B,2.35B,36.29B,27.14,1.63,2.20,1.01%,163000,Yes,Yes,2.20,21.15,19.03,2.72,1.33,8.02,133.27,990.53,0.10,1.20,0.00,0.98,-1.73%,10.29,11.44,2.96,-4.20%,6.61%,7.78%,18.10%,9.30%,11.10%,12.00%,Mar 16 BMO,-5.32%,0.10%,-5.11%,94.10%,-3.42%,8.50%,38.40%,24.50%,31.30%,8.80%,6.50%,14.70%,-8.89%,224.53M,222.60M,1.79% / 2.05,3.99M,246.38,183.25 - 262.20,-16.43%,19.58%,40.91,0.48,1.95M,"483,090",1.34%,-4.05%,-10.72%,-10.88%,9.97%,-11.01%,0.33,4.12,1.66% 1.66%,217.66,219.13,0.68%
DGX,S&P 500,15.10B,942.00M,9.88B,52.15,2.85,2.84,2.08%,40000,Yes,Yes,2.60,17.28,14.85,-,1.53,2.62,47.95,14.97,1.10,1.20,0.68,0.68,-4.65%,7.91,9.21,1.98,-48.60%,5.60%,-7.74%,11.00%,6.00%,-15.00%,-71.80%,Feb 02 BMO,-7.46%,0.20%,-25.79%,95.00%,-1.35%,7.10%,15.10%,11.70%,35.10%,14.40%,9.50%,32.30%,-2.41%,113.00M,110.08M,2.77% / 2.70,3.05M,150.13,120.40 - 158.34,-14.17%,12.87%,31.04,0.60,1.13M,"348,231",-2.73%,-6.87%,-8.77%,6.63%,1.19%,-13.13%,0.94,2.56,1.54% 1.70%,136.73,135.90,-0.61%
DHI,S&P 500,31.52B,5.67B,33.68B,58.55,7.71,1.00,1.07%,13237,Yes,Yes,2.20,5.82,9.97,-,0.94,1.60,12.16,29.24,-,-,0.28,0.18,2.09%,16.13,9.41,1.92,44.60%,3.44%,-9.70%,43.20%,18.90%,2.90%,-12.80%,Jan 24 BMO,1.85%,0.60%,-1.83%,87.30%,0.09%,19.50%,30.50%,23.20%,30.90%,22.00%,16.80%,5.70%,20.43%,344.20M,302.33M,4.54% / 4.96,13.74M,109.40,59.25 - 104.14,-7.66%,62.30%,55.91,1.25,2.77M,"1,781,551",5.91%,-3.31%,14.60%,35.27%,19.66%,7.88%,1.53,2.43,2.26% 2.30%,93.79,96.16,2.53%
DHR,S&P 500,178.08B,7.10B,31.47B,66.41,8.34,1.08,0.44%,79000,Yes,Yes,2.00,25.64,22.42,7.73,5.66,3.73,29.70,27.19,1.50,1.90,0.41,0.39,-1.50%,9.66,11.05,2.25,13.70%,10.13%,3.31%,25.70%,15.20%,2.70%,25.20%,Jan 24 BMO,-4.63%,0.20%,-3.44%,81.00%,-0.22%,8.60%,15.60%,11.20%,60.20%,27.60%,22.60%,9.80%,-6.14%,729.00M,648.17M,0.57% / 1.44,3.66M,302.30,233.71 - 303.82,-18.14%,6.42%,42.59,0.58,2.54M,"758,131",-0.40%,-6.50%,-6.27%,-10.36%,-3.32%,-6.29%,0.80,5.36,2.21% 2.03%,247.76,248.72,0.39%
DIS,"DJIA, S&P 500",177.42B,3.32B,84.42B,52.68,4.74,-,-,220000,Yes,Yes,2.00,54.62,18.00,2.65,2.10,1.88,20.95,1887.45,0.90,1.00,0.50,0.47,-4.39%,1.82,5.52,0.95,57.80%,32.79%,20.64%,-21.00%,8.50%,7.80%,11.10%,Feb 08 AMC,-2.36%,0.06%,-5.29%,65.00%,2.30%,1.60%,3.50%,3.30%,33.40%,7.50%,3.90%,0.00%,-2.72%,1.82B,1.82B,0.93% / 1.34,16.95M,126.03,84.07 - 144.46,-31.52%,17.67%,39.04,0.34,12.62M,"2,180,581",0.01%,-11.38%,7.19%,-12.21%,-24.91%,13.86%,1.30,2.33,1.97% 2.26%,99.30,98.93,-0.38%
DISH,S&P 500,5.82B,2.30B,16.68B,33.80,5.05,-,-,14200,Yes,Yes,2.40,3.10,14.43,-,0.35,0.33,2.22,15.94,0.70,0.80,1.19,1.10,-9.11%,3.62,0.78,0.41,-4.60%,-35.81%,-,15.30%,3.00%,-9.10%,69.70%,Feb 23 BMO,-16.14%,0.40%,108.31%,82.90%,-0.81%,4.60%,13.70%,3.30%,31.80%,12.30%,13.80%,0.00%,-28.27%,530.85M,251.08M,11.96% / 5.47,30.04M,28.80,10.64 - 33.74,-65.63%,8.98%,39.32,0.97,5.49M,"2,742,635",5.60%,-20.36%,-19.76%,-34.42%,-62.57%,-17.41%,1.83,0.69,4.97% 4.92%,11.20,11.60,3.53%
DLR,S&P 500,29.96B,337.00M,4.69B,58.23,0.50,4.88,4.61%,3412,Yes,Yes,2.30,91.83,82.20,-,6.39,1.82,211.27,-,-,-,0.98,0.98,-1.64%,1.15,1.29,0.23,-80.90%,22.81%,-,2.70%,13.80%,11.00%,-100.60%,Feb 16 AMC,-0.91%,0.11%,-0.39%,98.40%,0.99%,0.90%,2.00%,1.50%,60.10%,11.50%,7.20%,409.00%,-7.09%,289.40M,287.20M,3.52% / 5.19,10.11M,120.17,85.76 - 153.50,-30.78%,23.89%,47.88,0.35,1.95M,"353,875",3.06%,-6.37%,-1.67%,-12.87%,-20.41%,5.96%,0.56,3.20,3.24% 2.86%,105.79,106.25,0.43%
DLTR,"NDX, S&P 500",30.81B,1.62B,28.33B,37.24,2.02,-,-,61886,Yes,Yes,2.50,19.67,17.28,1.24,1.09,3.81,70.17,18.51,0.20,1.40,0.46,0.41,-2.76%,7.20,8.20,1.52,2.50%,17.72%,15.86%,8.90%,4.90%,8.10%,24.20%,Mar 01 BMO,-3.00%,0.10%,0.00%,-,1.32%,7.00%,19.20%,13.50%,31.50%,7.50%,5.50%,0.00%,-6.05%,222.20M,218.28M,4.69% / 4.82,10.23M,161.43,124.76 - 177.19,-19.80%,13.91%,42.45,0.66,2.12M,"725,884",-3.06%,-5.49%,-2.05%,-0.71%,-3.19%,0.47%,0.67,3.85,2.87% 2.46%,141.71,142.11,0.28%
DOV,S&P 500,20.85B,1.04B,8.51B,30.55,2.78,2.02,1.32%,25000,Yes,Yes,2.20,20.98,15.63,2.13,2.45,4.99,54.75,70.19,0.70,1.20,0.86,0.69,-0.09%,7.27,9.75,1.93,-4.10%,9.14%,9.85%,11.00%,4.50%,7.50%,-25.10%,Jan 31 BMO,3.81%,0.20%,-0.80%,94.70%,0.46%,9.90%,25.10%,14.50%,36.10%,16.20%,12.50%,26.90%,13.82%,140.32M,138.08M,1.16% / 1.90,1.60M,161.40,114.49 - 162.88,-6.49%,33.03%,53.98,0.84,838.19K,"361,904",0.60%,-2.66%,8.97%,17.61%,4.19%,12.48%,1.36,2.99,2.03% 1.80%,152.47,152.31,-0.10%
DOW,"DJIA, S&P 500",39.74B,4.56B,56.90B,29.21,5.50,2.80,4.98%,37800,Yes,Yes,2.90,9.01,11.67,-,0.70,1.93,10.23,7.28,1.20,1.80,0.74,0.71,-4.00%,6.25,4.82,0.38,-25.10%,47.37%,-2.61%,39.60%,5.40%,-17.40%,-63.20%,Jan 26 BMO,-2.15%,0.10%,0.06%,65.60%,-4.56%,7.40%,23.80%,11.60%,15.10%,9.90%,8.00%,44.50%,4.94%,709.30M,702.78M,1.45% / 2.10,10.18M,58.41,42.91 - 71.86,-22.36%,30.02%,39.66,0.62,4.85M,"1,539,477",-4.53%,-7.80%,9.29%,13.93%,-3.54%,10.72%,1.34,1.24,2.18% 1.97%,56.26,55.79,-0.84%
DPZ,S&P 500,11.07B,452.30M,4.54B,-118.71,5.75,4.84,1.55%,11000,Yes,Yes,2.50,24.86,21.07,2.46,2.44,-,54.29,48.02,1.30,1.50,-,-,-4.82%,12.56,14.82,2.71,-7.50%,13.66%,10.10%,16.50%,10.20%,3.60%,3.80%,Feb 23 BMO,-7.96%,0.40%,0.95%,93.90%,-9.28%,27.40%,-10.70%,77.70%,36.30%,16.90%,10.00%,34.70%,-13.11%,35.29M,35.19M,4.59% / 2.20,1.61M,346.11,291.00 - 426.44,-26.52%,7.68%,40.28,0.55,732.94K,"207,624",2.63%,-12.28%,-15.17%,-13.59%,-20.30%,-9.54%,0.77,9.78,2.42% 2.57%,312.13,313.34,0.39%
DRI,S&P 500,17.71B,910.70M,9.98B,16.55,1.98,4.84,3.32%,178956,Yes,Yes,2.00,20.07,16.84,2.24,1.77,8.81,73.59,50.12,0.30,0.50,1.01,0.98,0.65%,7.26,8.65,2.52,54.20%,10.57%,8.95%,14.10%,6.10%,9.40%,2.80%,Mar 23 BMO,0.86%,0.40%,-10.06%,92.00%,-1.11%,9.00%,42.40%,24.80%,19.40%,11.20%,9.10%,64.70%,10.28%,122.10M,121.41M,2.17% / 2.29,2.64M,155.81,110.96 - 152.08,-3.05%,32.88%,52.85,0.65,1.15M,"383,920",0.20%,-1.44%,3.21%,15.14%,20.15%,6.59%,1.22,2.62,1.92% 1.82%,145.73,147.44,1.17%
DTE,S&P 500,21.88B,1.08B,19.23B,51.73,0.16,3.81,3.55%,10250,Yes,Yes,2.00,19.47,16.01,3.19,1.14,2.07,662.94,17.86,0.60,0.80,1.84,1.62,-2.51%,5.51,6.71,2.05,34.60%,7.35%,6.10%,-0.80%,8.80%,-3.70%,-15.50%,Feb 23 BMO,-5.06%,0.20%,0.00%,75.50%,1.20%,2.60%,11.70%,5.80%,-,9.10%,5.60%,65.10%,-9.82%,201.00M,192.24M,0.98% / 1.58,1.89M,131.21,100.64 - 140.23,-22.54%,7.93%,41.47,0.55,1.20M,"338,278",0.24%,-4.48%,-6.26%,-19.71%,-13.91%,-7.58%,0.61,2.18,1.99% 1.84%,107.33,108.62,1.20%
DUK,S&P 500,71.67B,3.77B,28.77B,61.51,0.54,4.02,4.25%,27859,Yes,Yes,2.50,19.35,15.83,3.50,2.49,1.54,175.22,-,0.50,0.70,1.59,1.42,-0.96%,4.89,5.98,1.38,-4.70%,6.09%,5.54%,3.00%,4.10%,21.20%,-20.70%,Feb 09 BMO,-4.57%,0.13%,-0.42%,64.40%,0.19%,1.40%,5.10%,4.70%,65.00%,20.90%,8.50%,125.40%,-6.13%,770.00M,769.27M,1.03% / 2.70,7.90M,108.12,83.76 - 116.33,-17.56%,14.50%,45.36,0.64,2.93M,"966,288",2.28%,-4.88%,-4.58%,-13.01%,-9.07%,-6.88%,0.42,1.88,2.08% 1.96%,94.67,95.90,1.30%
DVA,S&P 500,7.08B,546.90M,11.61B,7.91,3.61,-,-,70000,Yes,Yes,3.10,14.08,11.18,-,0.61,10.04,22.01,7.37,1.20,1.20,12.53,12.20,-6.34%,5.64,7.10,1.15,-35.90%,17.28%,-1.70%,10.70%,1.30%,-0.90%,-66.80%,Feb 22 AMC,-4.16%,0.10%,5.02%,90.70%,-2.60%,3.30%,83.20%,11.80%,29.30%,11.50%,4.80%,0.00%,-7.38%,90.09M,87.34M,3.25% / 4.26,2.84M,90.86,65.28 - 124.81,-38.13%,18.29%,35.65,0.68,667.45K,"232,203",-4.62%,-8.86%,4.59%,-14.63%,-31.02%,3.42%,0.94,2.03,2.02% 2.39%,79.38,77.22,-2.72%
DVN,S&P 500,35.03B,5.96B,19.17B,17.23,2.26,4.37,8.02%,1800,Yes,Yes,2.20,5.97,7.46,-,1.83,3.16,24.09,13.43,1.20,1.30,0.60,0.58,-4.89%,9.12,7.31,1.63,118.00%,-0.73%,-5.12%,94.00%,24.10%,0.60%,-18.20%,Feb 14 AMC,-10.20%,0.40%,0.27%,80.70%,0.48%,25.80%,57.50%,34.90%,55.30%,41.60%,31.10%,56.50%,-14.22%,648.00M,647.71M,1.81% / 1.22,11.70M,71.82,47.01 - 77.37,-30.06%,15.11%,37.68,0.78,9.56M,"3,831,141",-2.85%,-13.02%,-14.04%,-17.72%,-5.44%,-12.03%,2.39,1.89,3.01% 3.14%,54.50,54.11,-0.72%
DXC,S&P 500,6.11B,718.00M,14.85B,20.16,9.39,-,-,130000,Yes,Yes,2.70,9.34,6.85,1.08,0.41,1.36,2.92,11.81,1.10,1.10,1.02,0.83,-4.66%,2.94,4.00,1.03,562.80%,14.96%,8.67%,39.00%,16.40%,-12.80%,-34.20%,Feb 01 AMC,-4.11%,0.50%,-5.56%,94.40%,4.01%,3.80%,15.10%,8.80%,21.40%,7.20%,4.80%,0.00%,-4.98%,229.54M,226.41M,3.39% / 5.01,7.67M,32.23,22.65 - 36.00,-24.86%,19.42%,42.72,0.42,1.53M,"332,979",-4.32%,-3.91%,-2.74%,1.46%,-12.35%,2.07%,1.97,0.87,3.65% 2.83%,27.41,27.05,-1.32%
DXCM,"NDX, S&P 500",42.97B,341.20M,2.91B,5.52,6.44,-,-,7500,Yes,Yes,1.60,140.75,78.18,4.60,14.77,20.42,17.49,141.02,1.80,2.00,0.95,0.59,0.41%,0.80,1.44,0.15,57.80%,40.14%,30.60%,37.80%,32.30%,16.80%,-,Feb 09 AMC,3.36%,0.10%,-31.65%,98.80%,-0.36%,6.60%,16.20%,8.20%,65.20%,13.40%,11.70%,0.00%,18.44%,386.40M,384.65M,3.43% / 5.06,13.19M,132.74,66.89 - 134.76,-14.76%,71.72%,52.57,0.92,2.61M,"1,240,866",-5.25%,4.90%,-1.68%,29.99%,14.64%,1.44%,1.16,4.32,3.76% 3.47%,112.74,114.87,1.89%
EA,"NDX, S&P 500",30.56B,1.04B,7.38B,27.36,9.38,0.76,0.68%,12900,Yes,Yes,2.20,30.30,17.18,9.04,4.14,4.10,11.97,31.90,1.20,1.20,0.25,0.25,-0.20%,3.71,6.54,1.31,-3.80%,8.44%,3.35%,-2.20%,7.60%,5.10%,216.90%,Jan 31 AMC,-5.90%,0.20%,-10.91%,94.00%,-0.25%,7.80%,13.60%,8.80%,76.40%,20.60%,14.10%,19.90%,-10.84%,276.00M,272.61M,1.47% / 1.69,4.02M,131.84,109.24 - 142.79,-21.77%,2.26%,39.92,0.50,2.38M,"613,614",-0.52%,-2.17%,-12.33%,-11.03%,-8.94%,-8.57%,0.86,1.80,1.42% 1.40%,112.28,111.71,-0.51%
EBAY,"NDX, S&P 500",23.53B,-1274.00M,9.79B,9.49,13.99,1.00,2.26%,11600,Yes,Yes,2.70,-,9.77,-,2.40,4.66,3.16,17.88,2.20,2.20,1.72,1.50,-6.46%,-2.14,4.53,1.07,-700.70%,9.87%,5.00%,-25.90%,-0.30%,-3.90%,184.00%,Feb 22 AMC,-5.47%,0.10%,-9.97%,90.00%,-1.05%,-6.10%,-22.80%,19.10%,72.60%,24.00%,-13.00%,-,-0.67%,543.00M,533.61M,2.63% / 2.85,14.01M,48.21,35.92 - 60.38,-27.34%,22.15%,34.82,0.58,4.91M,"1,479,796",-3.74%,-12.55%,1.21%,-1.76%,-17.70%,5.80%,1.36,1.17,2.15% 2.30%,44.26,43.88,-0.87%
ECL,S&P 500,45.03B,1.09B,14.19B,25.43,2.12,2.12,1.33%,47000,Yes,Yes,2.50,41.92,27.56,3.43,3.17,6.28,75.23,95.24,0.90,1.30,1.19,1.12,1.48%,3.81,5.80,0.86,-2.50%,17.25%,12.23%,-3.60%,0.50%,9.10%,-10.90%,Feb 14 BMO,4.13%,0.10%,-2.05%,90.80%,1.13%,5.20%,15.30%,8.70%,38.20%,11.40%,7.70%,53.30%,3.11%,284.60M,283.42M,0.61% / 1.51,1.73M,168.52,131.04 - 185.50,-13.73%,22.12%,54.83,0.97,1.14M,"569,423",-1.17%,5.08%,7.82%,-6.37%,2.11%,9.94%,1.00,3.61,2.29% 2.44%,159.74,160.03,0.18%
ED,S&P 500,32.17B,1.66B,15.67B,58.31,3.65,3.24,3.53%,14319,Yes,Yes,3.40,19.64,17.70,3.21,2.05,1.57,25.09,11.56,1.10,1.10,1.15,0.97,1.92%,4.67,5.18,1.66,21.10%,6.34%,6.12%,2.60%,5.40%,18.00%,-15.40%,Feb 16 AMC,-0.78%,0.10%,0.54%,68.20%,0.85%,2.50%,8.10%,4.80%,76.20%,16.80%,10.60%,67.50%,-0.89%,354.80M,354.43M,1.74% / 3.60,6.18M,89.64,78.10 - 102.21,-9.01%,19.08%,54.07,0.63,1.72M,"556,557",3.78%,-0.27%,-4.67%,-8.13%,4.79%,-2.42%,0.36,1.78,2.16% 1.95%,91.69,93.00,1.43%
EFX,S&P 500,23.83B,696.30M,5.12B,32.25,2.39,1.56,0.78%,14000,Yes,Yes,2.30,35.43,21.94,2.80,4.65,6.20,83.57,-,0.70,0.70,1.46,1.22,-2.45%,5.64,9.11,1.37,-6.20%,26.96%,12.65%,4.90%,8.80%,-4.40%,-11.00%,Feb 08 AMC,-3.98%,0.10%,-25.32%,96.90%,0.34%,6.10%,18.10%,8.50%,57.50%,20.60%,13.60%,27.40%,3.79%,122.70M,121.93M,3.12% / 4.86,3.81M,217.47,145.98 - 243.79,-17.26%,38.18%,43.31,0.82,784.24K,"329,869",-0.11%,-9.51%,3.95%,4.26%,-7.15%,3.79%,1.46,5.54,2.45% 2.63%,199.95,201.72,0.89%
EIX,S&P 500,25.45B,612.00M,17.22B,35.81,2.45,2.95,4.32%,13388,Yes,Yes,2.40,42.87,13.38,6.59,1.48,1.91,27.84,-,0.60,0.70,2.32,1.98,2.51%,1.59,5.10,0.99,-20.00%,8.09%,6.50%,-12.70%,6.90%,20.60%,-21.90%,Feb 23 AMC,2.50%,0.10%,0.00%,90.40%,0.71%,0.90%,4.90%,3.60%,63.00%,8.60%,3.90%,174.20%,6.06%,382.57M,382.14M,2.30% / 4.45,8.81M,71.00,54.45 - 73.32,-6.26%,26.23%,55.88,0.43,1.98M,"435,102",4.84%,2.11%,4.10%,1.03%,5.46%,8.03%,0.81,1.49,2.38% 2.15%,68.29,68.73,0.64%
EL,S&P 500,87.22B,1.49B,16.36B,16.50,10.61,2.64,1.06%,63000,Yes,Yes,2.10,60.24,34.22,9.11,5.33,15.06,23.42,1384.51,1.10,1.70,0.91,0.87,-1.35%,4.12,7.26,0.51,-16.00%,46.30%,6.62%,14.40%,8.40%,-16.60%,-63.20%,Feb 02 BMO,-4.46%,0.20%,-5.53%,91.30%,-0.58%,7.20%,25.80%,23.10%,73.90%,12.40%,9.10%,59.00%,0.45%,357.70M,230.07M,1.14% / 1.71,2.62M,289.37,186.47 - 289.59,-14.83%,32.27%,43.45,0.61,1.53M,"483,341",-0.88%,-5.51%,4.05%,-0.54%,-8.60%,-0.59%,1.02,5.98,2.26% 2.23%,248.48,246.64,-0.74%
EMN,S&P 500,10.00B,793.00M,10.58B,43.19,4.17,3.16,3.74%,14500,Yes,Yes,2.50,13.43,9.50,3.43,0.94,1.96,20.28,17.21,0.60,1.20,1.00,0.78,-2.78%,6.29,8.89,1.16,1.60%,14.36%,3.91%,-2.40%,2.10%,-11.90%,-99.70%,Jan 26 AMC,-4.07%,0.65%,-0.25%,87.80%,-3.01%,5.30%,14.60%,9.50%,20.20%,11.00%,7.50%,47.70%,-4.95%,119.30M,118.11M,1.66% / 2.00,1.96M,95.43,69.91 - 114.97,-27.35%,19.48%,42.75,0.63,980.24K,"318,595",-3.89%,-7.99%,-1.86%,-8.65%,-20.48%,2.57%,1.52,2.30,2.75% 2.54%,84.49,83.53,-1.14%
EMR,S&P 500,47.93B,2.66B,18.53B,18.38,4.06,2.08,2.43%,85500,Yes,Yes,-,19.11,19.04,-,2.59,4.66,21.10,42.76,0.90,1.10,0.93,0.76,0.31%,4.48,4.50,0.97,41.60%,10.52%,-,16.20%,5.20%,6.90%,-55.10%,Feb 08 BMO,-5.35%,0.20%,-8.45%,76.10%,-0.28%,13.50%,44.50%,11.90%,43.10%,16.50%,25.20%,26.00%,-2.20%,583.60M,565.69M,0.97% / 1.51,5.51M,101.78,72.40 - 100.00,-15.11%,17.24%,44.88,0.58,3.65M,"1,089,812",1.30%,-6.90%,-10.03%,3.22%,-9.40%,-11.63%,1.39,1.86,2.14% 2.10%,85.62,84.89,-0.85%
ENPH,"NDX, S&P 500",28.91B,397.40M,2.33B,6.06,12.18,-,-,2821,Yes,Yes,2.10,79.73,29.67,3.98,12.40,36.02,17.92,41.39,3.30,3.50,1.56,1.45,3.99%,2.74,7.36,1.20,170.30%,35.35%,20.05%,86.70%,52.10%,75.60%,186.00%,Feb 07 AMC,-3.12%,1.20%,-17.28%,81.20%,8.54%,15.20%,71.70%,18.60%,41.80%,19.20%,17.00%,0.00%,-13.56%,136.23M,132.66M,4.30% / 1.39,5.70M,298.48,128.67 - 339.92,-35.35%,70.80%,51.07,0.66,4.09M,"1,381,985",3.88%,-3.80%,-29.04%,-30.52%,24.88%,-17.05%,1.56,10.44,4.13% 5.16%,218.31,219.77,0.67%
EOG,S&P 500,68.70B,7.76B,25.63B,42.50,10.24,3.30,2.80%,2850,Yes,Yes,1.90,8.92,8.56,0.44,2.68,2.77,11.50,12.35,1.70,1.90,0.20,0.15,-4.74%,13.21,13.77,2.75,65.50%,3.96%,20.23%,82.00%,17.80%,11.10%,14.10%,Feb 23 AMC,-7.90%,0.30%,-0.04%,89.00%,-0.43%,19.60%,33.60%,26.20%,63.10%,38.90%,30.30%,23.10%,-4.84%,587.72M,585.06M,1.09% / 1.77,6.39M,153.59,89.96 - 149.10,-21.91%,29.42%,39.92,0.86,3.60M,"1,592,534",-3.62%,-8.88%,-7.80%,1.79%,3.52%,-10.11%,1.53,3.80,2.66% 2.95%,117.83,116.43,-1.19%
